episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, 707.0096818804741, 1, 13, 1359, 1981, 26981, 1.7269569635391235, 26.761940002441406
2, -6473.060130357742, 2, 8, 789, 2770, 27770, 1.7753297090530396, 27.806591033935547
3, -9445.75497686863, 2, -21, 1940, 4710, 29710, 1.8010542392730713, 29.267581939697266
4, -7278.809280872345, 3, 0, 1156, 5866, 30866, 1.8230516910552979, 31.333099365234375
5, -7489.087141752243, 3, 11, 1173, 7039, 32039, 1.8533010482788086, 32.25700759887695
6, -7856.17119884491, 2, -11, 1465, 8504, 33504, 1.8922585248947144, 33.23851013183594
7, -7580.778223514557, 2, 0, 1208, 9712, 34712, 1.7887898683547974, 34.300201416015625
8, -5409.950031757355, 2, 0, 574, 10286, 35286, 1.7225513458251953, 35.49706268310547
9, -12849.976650953293, 2, 0, 1267, 11553, 36553, 1.801562786102295, 36.35279846191406
10, -8728.617470145226, 2, 0, 1373, 12926, 37926, 1.9502511024475098, 38.04175567626953
11, -6897.41291975975, 2, 0, 954, 13880, 38880, 1.8201112747192383, 39.68000793457031
12, -4704.147782206535, 2, 9, 914, 14794, 39794, 1.9667587280273438, 40.23185348510742
13, -5001.542677402496, 2, -9, 546, 15340, 40340, 1.9355137348175049, 40.72532653808594
14, -8736.67691397667, 2, 0, 1101, 16441, 41441, 2.0580430030822754, 41.4995231628418
15, -7150.9811046123505, 2, 0, 1399, 17840, 42840, 2.0647480487823486, 42.85411834716797
16, -4469.755134940147, 2, 9, 916, 18756, 43756, 2.1933252811431885, 43.809207916259766
17, -5601.166348695755, 2, -9, 935, 19691, 44691, 2.0337395668029785, 44.42701721191406
18, -6652.445862770081, 2, 0, 938, 20629, 45629, 2.137497663497925, 45.29832077026367
19, -5566.126857042313, 2, 0, 910, 21539, 46539, 2.056213617324829, 46.097267150878906
20, -10474.535303592682, 2, 19, 1901, 23440, 48440, 2.146204948425293, 47.371604919433594
21, -7915.667871952057, 2, -19, 1413, 24853, 49853, 2.1543617248535156, 49.91938781738281
22, -8944.52018046379, 2, 0, 1425, 26278, 51278, 2.1231982707977295, 51.9913444519043
23, -4008.847410798073, 2, 0, 499, 26777, 51777, 2.2628302574157715, 53.2161750793457
24, -8270.036859750748, 2, 0, 1364, 28141, 53141, 2.234755039215088, 54.081905364990234
